"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1170","telnyx-17 Сhecking that sorting products Alphabetically(A-Z) is working correctly","","Mon May 05 09:15:53 UTC 2025","passed","Mon May 05 09:15:54 UTC 2025","","Shop page actions","",""
"","20941","telnyx-8 Check that drobdown of Why Telnyx in the main menu is full","","Mon May 05 09:03:10 UTC 2025","passed","Mon May 05 09:03:31 UTC 2025","","Home page actions","",""
"","3255","telnyx-1 Check that selecting a menu option without a dropdown redirects the user to the new page","","Mon May 05 09:02:59 UTC 2025","passed","Mon May 05 09:03:02 UTC 2025","","Home page actions","",""
"","120041","telnyx-15 Check that user navigate to a different domain page when clicking LOG IN","","Mon May 05 09:13:31 UTC 2025","broken","Mon May 05 09:15:31 UTC 2025","","Home page actions","",""
"","120005","telnyx-9 Check that sing up form opened","","Mon May 05 09:03:31 UTC 2025","broken","Mon May 05 09:05:31 UTC 2025","","Home page actions","",""
"","120018","telnyx-12 Check that drobdown of Resourses in the main menu is full","","Mon May 05 09:09:31 UTC 2025","broken","Mon May 05 09:11:31 UTC 2025","","Home page actions","",""
"","6522","telnyx-7 Check that Filter work correctly on solutions page","","Mon May 05 09:16:11 UTC 2025","passed","Mon May 05 09:16:17 UTC 2025","","Solutions page actions","",""
"","11797","telnyx-3 Checking that the contact form submission does not occur if there are no required fields","","Mon May 05 09:02:45 UTC 2025","passed","Mon May 05 09:02:57 UTC 2025","","ContactUs page actions","",""
"","11701","telnyx-2 Checking that the contact form is sent successfully when all required fields are filled in","","Mon May 05 09:02:34 UTC 2025","passed","Mon May 05 09:02:45 UTC 2025","","ContactUs page actions","",""
"","120009","telnyx-10 Check that user can't send form call from Telnyx without agree with terms and conditions","","Mon May 05 09:05:31 UTC 2025","broken","Mon May 05 09:07:31 UTC 2025","","Home page actions","",""
"","120001","telnyx-13 Check that drobdown of Developers in the main menu is full","","Mon May 05 09:11:31 UTC 2025","broken","Mon May 05 09:13:31 UTC 2025","","Home page actions","",""
"","2403","telnyx-15 Сhecking that the currency changes when changing Country/region","","Mon May 05 09:15:49 UTC 2025","passed","Mon May 05 09:15:51 UTC 2025","","Shop page actions","",""
"","1724","telnyx-16 Сhecking that the filter Availability is working correctly","","Mon May 05 09:15:51 UTC 2025","passed","Mon May 05 09:15:53 UTC 2025","","Shop page actions","",""
"","120046","telnyx-11 Check that in Ask our AI assistant only when user type something button Send is activated","","Mon May 05 09:07:31 UTC 2025","broken","Mon May 05 09:09:31 UTC 2025","","Home page actions","",""
"","6828","telnyx-20 Checking that the user has the ability to delete product from the cart","","Mon May 05 09:16:02 UTC 2025","passed","Mon May 05 09:16:09 UTC 2025","","Shop page actions","",""
"","3601","telnyx-4 Check that user navigates to a different domain page when clicking Shop","","Mon May 05 09:03:02 UTC 2025","passed","Mon May 05 09:03:06 UTC 2025","","Home page actions","",""
"","1204","telnyx-18 Сhecking that sorting products by Price (low to high) is working correctly","","Mon May 05 09:15:54 UTC 2025","passed","Mon May 05 09:15:55 UTC 2025","","Shop page actions","",""
"","13660","telnyx-6 Check that Download pricing is performed successfully","","Mon May 05 09:15:33 UTC 2025","passed","Mon May 05 09:15:47 UTC 2025","","Pricing page actions","",""
"","4572","telnyx-5 Сhecking that  Footer Links will redirect to the correct pages","","Mon May 05 09:03:06 UTC 2025","passed","Mon May 05 09:03:10 UTC 2025","","Home page actions","",""
"","7222","telnyx-19 Checking that the user has the ability to add a quantity product to the cart","","Mon May 05 09:15:55 UTC 2025","passed","Mon May 05 09:16:02 UTC 2025","","Shop page actions","",""
